Restaurant Name,Category Name,Latitude,Longitude,Distance,Bike Station Lat,Bike Station Lon
Rorschach Brewing,Brewery,43.663372,-79.319902,194,43.665269,-79.319796
The Sidekick,Coffee Shop,43.664574,-79.325048,440,43.665269,-79.319796
Chino Locos,Chinese Restaurant,43.664482,-79.325548,470,43.665269,-79.319796
Hasting Snack Bar,Lounge,43.663791,-79.328899,759,43.665269,-79.319796
Udupi Palace,Indian Restaurant,43.672665,-79.321041,810,43.665269,-79.319796
Chick-N-Joy,Diner,43.665121,-79.321347,129,43.665269,-79.319796
Null,Burger Joint,43.666709,-79.315659,377,43.665269,-79.319796
Godspeed Brewery,Bar,43.672563,-79.319341,804,43.665269,-79.319796
Maha's Fine Egyptian Cuisine,Egyptian Restaurant,43.671682,-79.328462,1001,43.665269,-79.319796
Blondies Pizza,Pizzeria,43.666892,-79.330277,877,43.665269,-79.319796
Brett's Ice Cream,Ice Cream Parlor,43.667418,-79.312824,600,43.665269,-79.319796
O Sushi,Pizzeria,43.666623,-79.316861,300,43.665269,-79.319796
Le Conciliabule,Bistro,43.671324,-79.32719,880,43.665269,-79.319796
Lahore Tikka House,Indian Restaurant,43.671511,-79.3246,813,43.665269,-79.319796
Triple a Bar,BBQ Joint,43.66368,-79.328881,770,43.665269,-79.319796
Gio Rana's Really Really Nice Restaurant,Italian Restaurant,43.663345,-79.330418,880,43.665269,-79.319796
Casa Di Giorgios,Pizzeria,43.666794,-79.315251,399,43.665269,-79.319796
Lazy Daisy's Cafe,Burger Joint,43.672661,-79.319544,838,43.665269,-79.319796
Tulip Restaurant,Diner,43.666394,-79.316918,265,43.665269,-79.319796
Eulalie's Corner Store,Bar,43.672514,-79.321578,824,43.665269,-79.319796
Yaya,"Cafe, Coffee, and Tea House",43.663023,-79.33177,1142,43.665269,-79.319796
Harvey's,Restaurant,43.666527,-79.315069,400,43.665269,-79.319796
McDonald's,Burger Joint,43.665065,-79.319,62,43.665269,-79.319796
Pizza Pizza,Pizzeria,43.671016,-79.328357,919,43.665269,-79.319796
Maru Japanese Bistro,Japanese Restaurant,43.664804,-79.324196,356,43.665269,-79.319796
Mira Mira,Sandwich Spot,43.664626,-79.325103,442,43.665269,-79.319796
My Little Dumplings,Chinese Restaurant,43.66454,-79.32551,482,43.665269,-79.319796
Wendy's,Fast Food Restaurant,43.659631,-79.329011,976,43.665269,-79.319796
Queen's Head Pub,Pub,43.663332,-79.330603,900,43.665269,-79.319796
The Burren Pub,Pub,43.663525,-79.327922,688,43.665269,-79.319796
Lloyd's on Queen,Bar,43.663831,-79.328344,702,43.665269,-79.319796
Jules Bistro,French Restaurant,43.663766,-79.328474,725,43.665269,-79.319796
Daddy's Chicken,Fried Chicken Joint,43.663805,-79.328714,744,43.665269,-79.319796
Maestro Omar's Gourmet Pizza,Pizzeria,43.668882,-79.31198,759,43.665269,-79.319796
Hakka Flame,Indian Chinese Restaurant,43.671893,-79.322416,783,43.665269,-79.319796
Karma's Kitchen,Tibetan Restaurant,43.671853,-79.322971,784,43.665269,-79.319796
Little India Food & Cultural Walking Tour,Gastropub,43.672044,-79.321878,785,43.665269,-79.319796
Puerto Bravo,Mexican Restaurant,43.672004,-79.322433,789,43.665269,-79.319796
Thai Culture,Restaurant,43.67258,-79.321448,805,43.665269,-79.319796
Leela Indian Food Bar,Indian Restaurant,43.671864,-79.324375,811,43.665269,-79.319796
Two Headed Dog,Gastropub,43.672398,-79.320859,815,43.665269,-79.319796
Chandni Chowk Restaurant,Halal Restaurant,43.672402,-79.322356,815,43.665269,-79.319796
Siddhartha,Indian Restaurant,43.67258,-79.321448,823,43.665269,-79.319796
Taste of Tandooree,Dessert Shop,43.671745,-79.325245,828,43.665269,-79.319796
Toronto Beach Club,Restaurant,43.663078,-79.309943,828,43.665269,-79.319796
It's the Icing on the Cake,Bakery,43.663568,-79.329659,830,43.665269,-79.319796
Kabul Kabab House,Diner,43.671601,-79.32569,838,43.665269,-79.319796
The Social Gardener,Coffee Shop,43.67168,-79.325375,841,43.665269,-79.319796
Jinglepear Deli,Deli,43.670782,-79.327712,875,43.665269,-79.319796
Nodo Leslieville,Italian Restaurant,43.663147,-79.331603,980,43.665269,-79.319796
The Greater Good Bar,Bar,43.669324,-79.439163,581,43.67142,-79.445947
Tre Mari Bakery,Bakery,43.676486,-79.448732,603,43.67142,-79.445947
Parallel,Middle Eastern Restaurant,43.669358,-79.4387,617,43.67142,-79.445947
Rio 40 Restaurant,Brazilian Restaurant,43.67738,-79.44649,657,43.67142,-79.445947
Desotos,Bistro,43.678507,-79.439513,946,43.67142,-79.445947
King's Tacos,Mexican Restaurant,43.677803,-79.444546,706,43.67142,-79.445947
Famiglia Baldassarre,Italian Restaurant,43.670471,-79.434997,887,43.67142,-79.445947
California Sushi,Sushi Restaurant,43.677552,-79.445675,674,43.67142,-79.445947
Thai Lime,Thai Restaurant,43.665197,-79.452624,868,43.67142,-79.445947
Pizza e Pazzi,Pizzeria,43.677961,-79.443916,733,43.67142,-79.445947
La Paloma Gelateria & Cafe,Ice Cream Parlor,43.675998,-79.450805,659,43.67142,-79.445947
Nova Era Bakery,Bakery,43.670001,-79.437587,693,43.67142,-79.445947
Donna’s,Diner,43.662806,-79.444617,988,43.67142,-79.445947
North Of Brooklyn Pizzeria,Pizzeria,43.669324,-79.439163,574,43.67142,-79.445947
Dairy Freezer,Burger Joint,43.67508,-79.454914,829,43.67142,-79.445947
Frank's Pizza House,Pizzeria,43.676786,-79.449247,630,43.67142,-79.445947
Tavora Foods,Seafood Restaurant,43.674605,-79.456802,938,43.67142,-79.445947
Century Park Tavern,Pub,43.669582,-79.448698,292,43.67142,-79.445947
Eden Trattoria,Italian Restaurant,43.676314,-79.449546,615,43.67142,-79.445947
Ti Carlos,Karaoke Bar,43.676528,-79.450469,621,43.67142,-79.445947
El Sazon Mexicano,Mexican Restaurant,43.677168,-79.447859,638,43.67142,-79.445947
Uai Pizzeria & Restaurant,Pizzeria,43.677373,-79.446582,647,43.67142,-79.445947
Kaito Sushi,Sushi Restaurant,43.677241,-79.444549,674,43.67142,-79.445947
Billyard Insurance Group - St. Clair,Insurance Agency,43.677848,-79.444694,710,43.67142,-79.445947
Corso Italia,Restaurant,43.677761,-79.442808,750,43.67142,-79.445947
Newport Fish & Seafood,Seafood Restaurant,43.669767,-79.436942,753,43.67142,-79.445947
Definitely Yours,Restaurant,43.677847,-79.442401,779,43.67142,-79.445947
Geary Market,Deli,43.669894,-79.43598,822,43.67142,-79.445947
Souvlaki Empornium,Greek Restaurant,43.665079,-79.452698,869,43.67142,-79.445947
Domino's Pizza,Pizzeria,43.665092,-79.452513,875,43.67142,-79.445947
Gaucho Pie Co,Empanada Restaurant,43.670824,-79.434773,895,43.67142,-79.445947
Dupont Spa,Restaurant,43.66517,-79.452993,896,43.67142,-79.445947
Colombian Street Food,Latin American Restaurant,43.66509,-79.453308,898,43.67142,-79.445947
Cano Restaurant,Mediterranean Restaurant,43.6787,-79.440714,904,43.67142,-79.445947
Atomic 10,Restaurant,43.678396,-79.439496,920,43.67142,-79.445947
Good Behaviour,Ice Cream Parlor,43.670661,-79.4347,928,43.67142,-79.445947
Dotty’s,Restaurant,43.665265,-79.453991,957,43.67142,-79.445947
Lucia,Italian Restaurant,43.664853,-79.454252,982,43.67142,-79.445947
McDonald's,Burger Joint,43.678113,-79.443379,765,43.67142,-79.445947
Foundry Avenue,Restaurant,43.668674,-79.448833,383,43.67142,-79.445947
M & M Food Market,Restaurant,43.667489,-79.442001,539,43.67142,-79.445947
Rocky Bar Restaurant and Cafe,Bar,43.678349,-79.440143,900,43.67142,-79.445947
Rorschach Brewing,Brewery,43.663372,-79.319902,349,43.666224,-79.317693
The Sidekick,Coffee Shop,43.664574,-79.325048,630,43.666224,-79.317693
Null,Burger Joint,43.666709,-79.315659,180,43.666224,-79.317693
Udupi Palace,Indian Restaurant,43.672665,-79.321041,752,43.666224,-79.317693
O Sushi,Pizzeria,43.666623,-79.316861,100,43.666224,-79.317693
Brett's Ice Cream,Ice Cream Parlor,43.667418,-79.312824,406,43.666224,-79.317693
Hasting Snack Bar,Lounge,43.663791,-79.328899,950,43.666224,-79.317693
Godspeed Brewery,Bar,43.672563,-79.319341,709,43.666224,-79.317693
Chino Locos,Chinese Restaurant,43.664482,-79.325548,657,43.666224,-79.317693
Casa Di Giorgios,Pizzeria,43.666794,-79.315251,205,43.666224,-79.317693
Le Conciliabule,Bistro,43.671324,-79.32719,934,43.666224,-79.317693
Lahore Tikka House,Indian Restaurant,43.671511,-79.3246,826,43.666224,-79.317693
Chick-N-Joy,Diner,43.665121,-79.321347,319,43.666224,-79.317693
Triple a Bar,BBQ Joint,43.66368,-79.328881,961,43.666224,-79.317693
Tulip Restaurant,Diner,43.666394,-79.316918,68,43.666224,-79.317693
Lazy Daisy's Cafe,Burger Joint,43.672661,-79.319544,745,43.666224,-79.317693
Zane Patisserie Boulangerie,Bakery,43.668515,-79.307713,814,43.666224,-79.317693
Eulalie's Corner Store,Bar,43.672514,-79.321578,778,43.666224,-79.317693
Harvey's,Restaurant,43.666527,-79.315069,209,43.666224,-79.317693
McDonald's,Burger Joint,43.665065,-79.319,172,43.666224,-79.317693
Maru Japanese Bistro,Japanese Restaurant,43.664804,-79.324196,546,43.666224,-79.317693
Maestro Omar's Gourmet Pizza,Pizzeria,43.668882,-79.31198,560,43.666224,-79.317693
Mira Mira,Sandwich Spot,43.664626,-79.325103,632,43.666224,-79.317693
My Little Dumplings,Chinese Restaurant,43.66454,-79.32551,672,43.666224,-79.317693
Toronto Beach Club,Restaurant,43.663078,-79.309943,714,43.666224,-79.317693
Little India Food & Cultural Walking Tour,Gastropub,43.672044,-79.321878,741,43.666224,-79.317693
Two Headed Dog,Gastropub,43.672398,-79.320859,747,43.666224,-79.317693
Thai Culture,Restaurant,43.67258,-79.321448,748,43.666224,-79.317693
Hakka Flame,Indian Chinese Restaurant,43.671893,-79.322416,749,43.666224,-79.317693
Puerto Bravo,Mexican Restaurant,43.672004,-79.322433,756,43.666224,-79.317693
Karma's Kitchen,Tibetan Restaurant,43.671853,-79.322971,767,43.666224,-79.317693
Siddhartha,Indian Restaurant,43.67258,-79.321448,768,43.666224,-79.317693
Chandni Chowk Restaurant,Halal Restaurant,43.672402,-79.322356,785,43.666224,-79.317693
Baldev Paan & Cold Drink House,Diner,43.671747,-79.323655,790,43.666224,-79.317693
Leela Indian Food Bar,Indian Restaurant,43.671864,-79.324375,811,43.666224,-79.317693
Taste of Tandooree,Dessert Shop,43.671745,-79.325245,847,43.666224,-79.317693
Kabul Kabab House,Diner,43.671601,-79.32569,864,43.666224,-79.317693
The Social Gardener,Coffee Shop,43.67168,-79.325375,873,43.666224,-79.317693
The Burren Pub,Pub,43.663525,-79.327922,880,43.666224,-79.317693
Lloyd's on Queen,Bar,43.663831,-79.328344,893,43.666224,-79.317693
Jules Bistro,French Restaurant,43.663766,-79.328474,916,43.666224,-79.317693
Daddy's Chicken,Fried Chicken Joint,43.663805,-79.328714,935,43.666224,-79.317693
Jinglepear Deli,Deli,43.670782,-79.327712,945,43.666224,-79.317693
New Sunrise Restaurant,Restaurant,43.673001,-79.319504,767,43.666224,-79.317693
Dilbag Singh,Restaurant,43.671754,-79.323563,774,43.666224,-79.317693
Lions Club of Toronto,Night Club,43.664074,-79.307808,829,43.666224,-79.317693
Jules Bistro Leslieville Toronto,Restaurant,43.663877,-79.328492,906,43.666224,-79.317693
Richmond Station,American Restaurant,43.65151,-79.379223,276,43.653236,-79.376716
Booster Juice,Diner,43.65266,-79.378845,154,43.653236,-79.376716
Terroni,Pizzeria,43.650818,-79.375607,271,43.653236,-79.376716
Dineen Coffee Co,Café,43.651132,-79.379023,346,43.653236,-79.376716
Beer Bistro,Bistro,43.649463,-79.377261,426,43.653236,-79.376716
Leña Restaurante,South American Restaurant,43.651907,-79.379941,261,43.653236,-79.376716
Blaze Pizza,Pizzeria,43.656609,-79.380128,450,43.653236,-79.376716
