Restaurant Name,Category Name,Latitude_x,Longitude_x,Distance,Rating,Number of Reviews,Price Point,Bike Station Lat,Bike Station Lon,Station Name,Latitude_y,Longitude_y,Number of Bikes
Jaclyn's,caribbean,43.66627,-79.31802,172.3751336,4.5,16,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Lake Inez,bars,43.67234,-79.32064,794.661955,4.5,94,$$$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Casa Di Giorgios,italian,43.6668499,-79.31518,408.7157245,4.0,75,$$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Tulia Osteria,pizza,43.66487,-79.32425,365.1153942,5.0,1,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Betty’s East,salad,43.663455,-79.327992,689.7787206,4.0,5,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Beach Club,seafood,43.6632065,-79.3100133,839.3120734,3.0,19,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Maru Japanese Bistro,japanese,43.66471996,-79.32426283,364.448505,4.0,17,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Le Conciliabule,bakeries,43.671365,-79.3272249,903.6090778,4.5,13,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
The Sidekick,cafes,43.6645889,-79.3251114,436.0032949,4.5,31,$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Puerto Bravo,mexican,43.67203,-79.32231,777.9806692,4.5,4,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Mattachioni,grocery,43.67264,-79.31973,815.1485645,4.5,5,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
British Style Fish & Chips,fishnchips,43.66861,-79.31723,426.6274769,4.0,53,$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
The Burger's Priest,burgers,43.66669959,-79.3155846,374.2380726,3.5,507,$$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Yaya Greek Bistro,breakfast_brunch,43.66307838,-79.33178893,994.967613,4.0,82,$$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Good Behaviour,sandwiches,43.67162641,-79.32564631,849.2026845,4.5,11,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Chick-N-Joy,hotdogs,43.66509,-79.32132,125.4831324,4.0,57,$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
O Sushi,sushi,43.66654,-79.31693,277.5695824,4.0,61,$$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Toto Sushi,japanese,43.672262,-79.3212267,786.0540023,4.5,32,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Jules Bistro,bistros,43.66389,-79.32859,724.0458166,3.5,31,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Black Pony,cafes,43.67241,-79.3204,805.5180733,4.5,8,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
Maha's,egyptian,43.67167,-79.32853,1005.190035,4.0,599,$$,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
GG's,burgers,43.6632065,-79.3100133,839.3120734,3.5,4,no data,43.665269,-79.319796,Queen St E / Woodward Ave,43.665269,-79.319796,7
