Station Name,Restaurant Name,Number of Bikes,Distance,Rating,Number of Reviews
Queen St E / Woodward Ave,Jaclyn's,7,172.3751336,4.5,16
Queen St E / Woodward Ave,Lake Inez,7,794.661955,4.5,94
Queen St E / Woodward Ave,Casa Di Giorgios,7,408.7157245,4.0,75
Queen St E / Woodward Ave,Tulia Osteria,7,365.1153942,5.0,1
Queen St E / Woodward Ave,Betty’s East,7,689.7787206,4.0,5
Queen St E / Woodward Ave,Beach Club,7,839.3120734,3.0,19
Queen St E / Woodward Ave,Maru Japanese Bistro,7,364.448505,4.0,17
Queen St E / Woodward Ave,Le Conciliabule,7,903.6090778,4.5,13
Queen St E / Woodward Ave,The Sidekick,7,436.0032949,4.5,31
Queen St E / Woodward Ave,Puerto Bravo,7,777.9806692,4.5,4
Queen St E / Woodward Ave,Mattachioni,7,815.1485645,4.5,5
Queen St E / Woodward Ave,British Style Fish & Chips,7,426.6274769,4.0,53
Queen St E / Woodward Ave,The Burger's Priest,7,374.2380726,3.5,507
Queen St E / Woodward Ave,Yaya Greek Bistro,7,994.967613,4.0,82
Queen St E / Woodward Ave,Good Behaviour,7,849.2026845,4.5,11
Queen St E / Woodward Ave,Chick-N-Joy,7,125.4831324,4.0,57
Queen St E / Woodward Ave,O Sushi,7,277.5695824,4.0,61
Queen St E / Woodward Ave,Toto Sushi,7,786.0540023,4.5,32
Queen St E / Woodward Ave,Jules Bistro,7,724.0458166,3.5,31
Queen St E / Woodward Ave,Black Pony,7,805.5180733,4.5,8
Queen St E / Woodward Ave,Maha's,7,1005.190035,4.0,599
Queen St E / Woodward Ave,GG's,7,839.3120734,3.5,4
Queen St E / Woodward Ave,Burrito Bandidos,7,286.249065,3.5,58
Queen St E / Woodward Ave,Nodo Leslieville,7,983.1152025,4.0,37
Queen St E / Woodward Ave,Gio Rana's Really Really Nice Restaurant,7,881.1241172,4.0,229
Queen St E / Woodward Ave,Occasions Restaurant,7,908.6517424,4.0,46
Queen St E / Woodward Ave,McDonald's,7,32.41673667,2.5,24
Queen St E / Woodward Ave,Hastings Snack Bar,7,755.3857132,4.5,42
Queen St E / Woodward Ave,Lazy Daisy's Cafe,7,828.6620562,4.0,152
Queen St E / Woodward Ave,BIRDIES Fried Chicken,7,888.1996124,4.5,10
Queen St E / Woodward Ave,Simple Coffee,7,377.7194533,4.5,2
Queen St E / Woodward Ave,Karma's Kitchen,7,772.1052135,4.0,62
Queen St E / Woodward Ave,Bombay Chowpatty,7,832.357744,3.0,58
Queen St E / Woodward Ave,Leslie Jones,7,1003.990118,4.0,76
Queen St E / Woodward Ave,The Thirsty Loon,7,792.3322185,4.0,1
Queen St E / Woodward Ave,Leela Indian Food Bar,7,829.0861018,4.0,17
Queen St E / Woodward Ave,Shawarma Day,7,262.2290984,0.0,0
Queen St E / Woodward Ave,Desi Burger,7,828.4504181,4.0,16
Queen St E / Woodward Ave,Regency Restaurant,7,779.0130455,4.0,79
Queen St E / Woodward Ave,The Famous Indian Cuisine,7,809.80674,4.0,66
Queen St E / Woodward Ave,Lahore Chaat & Desi Burger House,7,836.073363,4.0,16
Queen St E / Woodward Ave,Mumbai Frankie,7,829.0861018,0.0,0
Queen St E / Woodward Ave,Lahore Tikka House,7,787.4737978,3.5,544
Queen St E / Woodward Ave,JP Restaurant,7,868.716398,3.5,10
Queen St E / Woodward Ave,Blondies,7,861.4874303,4.0,53
Queen St E / Woodward Ave,The Social Gardener,7,839.3721468,3.5,5
Queen St E / Woodward Ave,Maestro Omar’s Gourmet Pizza,7,760.3739599,4.0,8
Queen St E / Woodward Ave,Tea N Bannock,7,895.5565315,4.5,47
Queen St E / Woodward Ave,Sushi On Gerrard,7,904.0855015,0.0,0
Primrose Ave / Davenport Rd,Agio,13,646.471211,4.5,190
Primrose Ave / Davenport Rd,North Of Brooklyn,13,597.6101584,4.0,44
Primrose Ave / Davenport Rd,Famiglia Baldassarre,13,888.6585807,4.5,74
Primrose Ave / Davenport Rd,Rush Hour,13,440.3807915,4.5,48
Primrose Ave / Davenport Rd,Parallel,13,631.8823306,4.0,105
Primrose Ave / Davenport Rd,Meta Dos Leitoes,13,622.2462798,4.5,7
Primrose Ave / Davenport Rd,The Sovereign,13,506.7789643,4.5,36
Primrose Ave / Davenport Rd,Love Chix,13,292.2904736,4.0,44
Primrose Ave / Davenport Rd,Century Park Tavern,13,299.6021922,3.5,3
Primrose Ave / Davenport Rd,King's Tacos,13,748.002523,4.0,81
Primrose Ave / Davenport Rd,Rio 40 Restaurant,13,672.12287,4.0,63
Primrose Ave / Davenport Rd,Defina Wood Fired,13,711.2083598,3.5,26
Primrose Ave / Davenport Rd,Brasa Peruvian Kitchen,13,720.4972412,5.0,8
Primrose Ave / Davenport Rd,El Sazón Mexicano,13,644.4584382,4.0,11
Primrose Ave / Davenport Rd,CANO Restaurant,13,920.0498725,4.5,71
Primrose Ave / Davenport Rd,BSTO.,13,647.7983731,5.0,1
Primrose Ave / Davenport Rd,Piri Piri Grill,13,652.0344442,3.5,52
Primrose Ave / Davenport Rd,Good Behaviour,13,913.5514326,4.5,47
Primrose Ave / Davenport Rd,La Morena,13,729.1281879,5.0,8
Primrose Ave / Davenport Rd,Itacate,13,1133.499452,4.5,57
Primrose Ave / Davenport Rd,A Ria Restaurante,13,655.6681649,4.0,2
Primrose Ave / Davenport Rd,Atomic 10,13,931.635048,4.5,30
Primrose Ave / Davenport Rd,Royal Caribbean Cafe,13,843.8130431,4.0,29
Primrose Ave / Davenport Rd,Don Quixote,13,607.5270956,4.0,5
Primrose Ave / Davenport Rd,La Bruschetta Restaurant,13,600.3999691,4.0,39
Primrose Ave / Davenport Rd,DUCKiiN,13,276.0104127,0.0,0
Primrose Ave / Davenport Rd,Tre Mari Bakery,13,600.1521334,4.5,94
Primrose Ave / Davenport Rd,Dairy Freeze,13,828.0712606,3.0,73
Primrose Ave / Davenport Rd,Marcello’s pizzeria,13,769.5753009,4.0,102
Primrose Ave / Davenport Rd,Gaucho Pie,13,898.6369769,4.5,9
Primrose Ave / Davenport Rd,Kaito Sushi,13,671.813579,3.5,32
Primrose Ave / Davenport Rd,Koji Japanese Restaurant,13,873.9979542,4.5,38
Primrose Ave / Davenport Rd,Big Trouble Pizza,13,715.1697408,5.0,4
Primrose Ave / Davenport Rd,Burger Land,13,646.471211,5.0,1
Primrose Ave / Davenport Rd,Lucia,13,981.6022885,4.0,11
Primrose Ave / Davenport Rd,DeSotos Eatery,13,947.5439424,4.0,84
Primrose Ave / Davenport Rd,Boo Radley's Junction Bar and Grill,13,690.4815139,3.5,46
Primrose Ave / Davenport Rd,The Morning Star Restaurant,13,384.7334862,2.5,2
Primrose Ave / Davenport Rd,Hot Slice Pizza,13,421.3613671,0.0,0
Primrose Ave / Davenport Rd,Barista & Chef,13,1124.536457,4.5,53
Primrose Ave / Davenport Rd,Mattachioni,13,1027.866947,4.0,45
Primrose Ave / Davenport Rd,Frank’s Pizza House,13,659.0933696,3.5,99
Primrose Ave / Davenport Rd,Tuckshop Kitchen,13,1062.84922,4.5,56
Primrose Ave / Davenport Rd,Colombian Street Food by Cookie Martinez,13,890.6060362,4.5,2
Primrose Ave / Davenport Rd,Taqueria Gus,13,1247.16975,5.0,3
Primrose Ave / Davenport Rd,Pizza e Pazzi,13,750.6863489,4.0,90
Primrose Ave / Davenport Rd,Rain Sushi,13,646.0233045,4.5,6
Primrose Ave / Davenport Rd,El Mae Restaurant,13,756.2956743,0.0,0
Primrose Ave / Davenport Rd,Lox + Schmear,13,1060.46642,4.5,40
Primrose Ave / Davenport Rd,El Rancherito,13,1033.412806,3.5,18
Queen St. E / Rhodes Ave.,Jaclyn's,14,29.25726257,4.5,16
Queen St. E / Rhodes Ave.,Casa Di Giorgios,14,211.834095,4.0,75
Queen St. E / Rhodes Ave.,Lake Inez,14,726.2105824,4.5,94
Queen St. E / Rhodes Ave.,Tulia Osteria,14,553.9020761,5.0,1
Queen St. E / Rhodes Ave.,Beach Club,14,735.5028477,3.0,19
Queen St. E / Rhodes Ave.,Betty’s East,14,884.1493841,4.0,5
Queen St. E / Rhodes Ave.,The Burger's Priest,14,177.6432598,3.5,507
Queen St. E / Rhodes Ave.,O Sushi,14,78.63482296,4.0,61
Queen St. E / Rhodes Ave.,Le Conciliabule,14,956.3312078,4.5,13
Queen St. E / Rhodes Ave.,Puerto Bravo,14,744.6803621,4.5,4
Queen St. E / Rhodes Ave.,British Style Fish & Chips,14,269.5177252,4.0,53
Queen St. E / Rhodes Ave.,Maru Japanese Bistro,14,554.2860781,4.0,17
Queen St. E / Rhodes Ave.,Burrito Bandidos,14,98.63227407,3.5,58
Queen St. E / Rhodes Ave.,Mattachioni,14,728.47,4.5,5
Queen St. E / Rhodes Ave.,Simple Coffee,14,179.6109754,4.5,2
Queen St. E / Rhodes Ave.,The Sidekick,14,625.5297679,4.5,31
Queen St. E / Rhodes Ave.,Occasions Restaurant,14,795.2799228,4.0,46
Queen St. E / Rhodes Ave.,Toto Sushi,14,729.0757804,4.5,32
Queen St. E / Rhodes Ave.,Good Behaviour,14,877.542005,4.5,11
Queen St. E / Rhodes Ave.,GG's,14,735.5028477,3.5,4
Queen St. E / Rhodes Ave.,Sauvignon Bistro,14,887.4319124,4.0,42
Queen St. E / Rhodes Ave.,Black Pony,14,732.1834312,4.5,8
Queen St. E / Rhodes Ave.,Shawarma Day,14,63.94619848,0.0,0
Queen St. E / Rhodes Ave.,Maha's,14,1066.412136,4.0,599
Queen St. E / Rhodes Ave.,Lazy Daisy's Cafe,14,735.3127654,4.0,152
Queen St. E / Rhodes Ave.,BIRDIES Fried Chicken,14,789.4736394,4.5,10
Queen St. E / Rhodes Ave.,Hastings Snack Bar,14,946.0044248,4.5,42
Queen St. E / Rhodes Ave.,Chick-N-Joy,14,319.9391251,4.0,57
Queen St. E / Rhodes Ave.,Jules Bistro,14,915.43535,3.5,31
Queen St. E / Rhodes Ave.,Karma's Kitchen,14,755.6731487,4.0,62
Queen St. E / Rhodes Ave.,The Thirsty Loon,14,708.8060407,4.0,1
Queen St. E / Rhodes Ave.,McDonald's,14,170.1876189,2.5,24
Queen St. E / Rhodes Ave.,Bombay Chowpatty,14,835.902608,3.0,58
Queen St. E / Rhodes Ave.,Maestro Omar’s Gourmet Pizza,14,560.694994,4.0,8
Queen St. E / Rhodes Ave.,Pachira Asian Cuisine,14,72.3806461,1.0,1
Queen St. E / Rhodes Ave.,Regency Restaurant,14,747.3465997,4.0,79
Queen St. E / Rhodes Ave.,Leela Indian Food Bar,14,833.2911411,4.0,17
Queen St. E / Rhodes Ave.,Desi Burger,14,839.9463247,4.0,16
Queen St. E / Rhodes Ave.,The Famous Indian Cuisine,14,791.8885778,4.0,66
Queen St. E / Rhodes Ave.,JP Restaurant,14,776.8618621,3.5,10
Queen St. E / Rhodes Ave.,Lahore Chaat & Desi Burger House,14,845.6703369,4.0,16
Queen St. E / Rhodes Ave.,Mumbai Frankie,14,833.2911411,0.0,0
Queen St. E / Rhodes Ave.,Lahore Tikka House,14,802.9975418,3.5,544
Queen St. E / Rhodes Ave.,Butter Chicken Roti,14,72.41293906,2.5,13
Queen St. E / Rhodes Ave.,The Social Gardener,14,863.6850306,3.5,5
Queen St. E / Rhodes Ave.,Tea N Bannock,14,952.8708057,4.5,47
Queen St. E / Rhodes Ave.,Sushi On Gerrard,14,976.1584531,0.0,0
Queen St. E / Rhodes Ave.,Motimahal,14,790.1981674,3.5,112
Queen St. E / Rhodes Ave.,Udupi Palace,14,776.9763783,3.5,208
Bond St / Queen St E,Richmond Station,0,292.6389211,4.5,906
Bond St / Queen St E,The Rabbit Hole,0,426.2887524,4.0,36
Bond St / Queen St E,Mogouyan Hand-Pulled Noodles,0,681.0174839,4.5,66
Bond St / Queen St E,Cafe Oro Di Napoli,0,418.2400801,4.5,97
Bond St / Queen St E,Katsuya,0,768.495745,4.5,497
Bond St / Queen St E,Amano Trattoria,0,646.7952231,4.5,24
Bond St / Queen St E,Pearl Diver,0,300.7711619,4.0,629
