Restaurant Name,Category Name,Latitude,Longitude,Distance,Rating,Number of Reviews,Price Point,Bike Station Lat,Bike Station Lon
Jaclyn's,caribbean,43.66627,-79.31802,172.3751336,4.5,16,no data,43.665269,-79.319796
Lake Inez,bars,43.67234,-79.32064,794.661955,4.5,94,$$$,43.665269,-79.319796
Casa Di Giorgios,italian,43.6668499,-79.31518,408.7157245,4,75,$$,43.665269,-79.319796
Tulia Osteria,pizza,43.66487,-79.32425,365.1153942,5,1,no data,43.665269,-79.319796
Betty’s East,salad,43.663455,-79.327992,689.7787206,4,5,no data,43.665269,-79.319796
Beach Club,seafood,43.6632065,-79.3100133,839.3120734,3,19,no data,43.665269,-79.319796
Maru Japanese Bistro,japanese,43.66471996,-79.32426283,364.448505,4,17,no data,43.665269,-79.319796
Le Conciliabule,bakeries,43.671365,-79.3272249,903.6090778,4.5,13,no data,43.665269,-79.319796
The Sidekick,cafes,43.6645889,-79.3251114,436.0032949,4.5,31,$,43.665269,-79.319796
Puerto Bravo,mexican,43.67203,-79.32231,777.9806692,4.5,4,no data,43.665269,-79.319796
Mattachioni,grocery,43.67264,-79.31973,815.1485645,4.5,5,no data,43.665269,-79.319796
British Style Fish & Chips,fishnchips,43.66861,-79.31723,426.6274769,4,53,$,43.665269,-79.319796
The Burger's Priest,burgers,43.66669959,-79.3155846,374.2380726,3.5,507,$$,43.665269,-79.319796
Yaya Greek Bistro,breakfast_brunch,43.66307838,-79.33178893,994.967613,4,82,$$,43.665269,-79.319796
Good Behaviour,sandwiches,43.67162641,-79.32564631,849.2026845,4.5,11,no data,43.665269,-79.319796
Chick-N-Joy,hotdogs,43.66509,-79.32132,125.4831324,4,57,$,43.665269,-79.319796
O Sushi,sushi,43.66654,-79.31693,277.5695824,4,61,$$,43.665269,-79.319796
Toto Sushi,japanese,43.672262,-79.3212267,786.0540023,4.5,32,no data,43.665269,-79.319796
Jules Bistro,bistros,43.66389,-79.32859,724.0458166,3.5,31,no data,43.665269,-79.319796
Black Pony,cafes,43.67241,-79.3204,805.5180733,4.5,8,no data,43.665269,-79.319796
Maha's,egyptian,43.67167,-79.32853,1005.190035,4,599,$$,43.665269,-79.319796
GG's,burgers,43.6632065,-79.3100133,839.3120734,3.5,4,no data,43.665269,-79.319796
Burrito Bandidos,mexican,43.6665611,-79.3164215,286.249065,3.5,58,$$,43.665269,-79.319796
Nodo Leslieville,italian,43.66311,-79.33162,983.1152025,4,37,no data,43.665269,-79.319796
Gio Rana's Really Really Nice Restaurant,italian,43.66333534,-79.33041893,881.1241172,4,229,$$$,43.665269,-79.319796
Occasions Restaurant,greek,43.67338,-79.31823,908.6517424,4,46,$$,43.665269,-79.319796
McDonald's,hotdogs,43.6650808,-79.3192955,32.41673667,2.5,24,$,43.665269,-79.319796
Hastings Snack Bar,polish,43.66381,-79.32893,755.3857132,4.5,42,$,43.665269,-79.319796
Lazy Daisy's Cafe,cafes,43.6726699,-79.3194,828.6620562,4,152,$$,43.665269,-79.319796
BIRDIES Fried Chicken,chickenshop,43.6732457,-79.3191636,888.1996124,4.5,10,no data,43.665269,-79.319796
Simple Coffee,cafes,43.6668164,-79.3156156,377.7194533,4.5,2,no data,43.665269,-79.319796
Karma's Kitchen,himalayan,43.67183,-79.32305,772.1052135,4,62,$$,43.665269,-79.319796
